id,MW,cLogP,HBD,HBA,RotB,charge
CHEMBL328216,330.1890000000001,3.300300000000001,3,5,2,0
CHEMBL93032,332.1570000000001,3.5471000000000017,3,5,2,0
CHEMBL326596,265.31600000000003,3.2505000000000015,1,4,4,0
CHEMBL430571,396.4500000000001,5.076900000000003,2,5,7,0
CHEMBL52913,324.771,4.151300000000002,2,4,4,0
CHEMBL92825,347.1590000000001,3.9780000000000015,1,3,2,0
CHEMBL54091,388.20000000000005,3.794500000000002,2,5,4,0
CHEMBL53665,388.20000000000005,3.794500000000002,2,5,4,0
CHEMBL93181,330.18500000000006,4.1445000000000025,1,4,3,0
CHEMBL296168,370.21000000000004,3.655400000000002,2,5,4,0
CHEMBL51741,395.26000000000005,4.211000000000003,1,4,3,0
CHEMBL325245,295.3420000000001,3.259100000000002,1,5,5,0
CHEMBL340862,392.48400000000015,5.294300000000003,1,7,7,0
CHEMBL115745,281.31500000000005,2.9561000000000015,2,5,4,0
CHEMBL49986,370.21000000000004,3.655400000000002,2,5,4,0
